Bancs;camera;zone;Pop;5_degres_C_TMG_h;5_degres_C_TMG_j;Aire_sous_la_courbe;15_j;16 _j;17_j;18 _j;19_j ;20 _j;21_j
3;1;22;802;384,00;16,00;4392;8;20;28;32;36;36;36
3;3;42;802;396,31;16,51;5704;16;20;40;40;44;52;52
4;3;46;802;384,25;16,01;7792;20;28;48;52;64;64;64
4;1;45;802;420,67;17,53;2048;4;4;16;16;16;16;24
3;4;22;802;412,00;17,17;1880;4;4;12;12;16;16;20
3;2;31;802;377,25;15,72;8240;32;40;48;52;56;56;64
4;4;14;802;437,33;18,22;824;0;4;4;4;4;12;12
3;4;33;802;411,38;17,14;4920;12;12;16;36;40;52;52
4;4;23;802;396,31;16,51;5704;8;20;36;44;52;52;52
3;1;45;802;369,75;15,41;8720;28;36;52;56;60;64;64
4;2;46;802;359,25;14,97;9392;32;36;56;60;64;64;64
4;3;33;802;369,11;15,38;9856;44;52;56;56;64;72;72
3;4;44;802;390,40;16,27;2312;4;12;12;16;20;20;20
4;2;22;802;390,57;16,27;6464;16;24;36;36;48;52;56
4;1;36;802;385,18;16,05;8216;20;24;44;60;68;68;68
4;4;16;802;382,00;15,92;6944;20;28;44;48;52;56;56
3;2;11;802;389,67;16,24;5584;12;24;32;32;44;48;48
3;1;34;802;391,06;16,29;7816;16;40;44;52;60;68;68
3;3;42;802;385,14;16,05;6768;12;32;40;44;52;56;56
3;1;46;802;374,40;15,60;7896;20;36;44;48;56;60;60
3;1;45;802;376,33;15,68;6224;24;24;32;44;48;48;48
3;2;42;802;389,33;16,22;5600;16;28;36;36;40;44;48
3;4;21;802;376,00;15,67;7280;20;32;44;48;52;52;56
4;4;26;802;354,22;14,76;10928;44;44;56;64;64;72;72
3;4;21;802;375,50;15,65;8352;32;40;44;52;52;60;64
4;4;36;802;380,60;15,86;10032;32;44;52;64;68;76;80
3;3;15;802;376,84;15,70;9816;32;44;56;64;64;72;76
4;4;33;802;390,48;16,27;9704;24;40;60;72;76;76;84
3;1;35;802;406,46;16,94;5176;16;20;32;36;40;48;52
4;1;44;802;400,00;16,67;5512;12;24;28;36;44;52;52
3;3;26;802;384,29;16,01;6816;20;32;40;40;40;52;56
4;2;34;802;418,91;17,45;3832;0;8;20;28;36;44;44
4;4;36;802;413,60;17,23;5544;12;24;28;40;44;52;60
3;2;44;802;344,67;14,36;11616;36;52;64;64;68;72;72
4;3;44;802;388,53;16,19;7048;20;28;44;52;56;56;60
4;3;44;802;400,00;16,67;5512;8;20;24;36;40;44;52
3;3;13;802;402,74;16,78;7848;16;32;40;48;56;64;76
4;4;46;802;394,74;16,45;8456;16;24;48;72;76;76;76
4;2;23;802;384,75;16,03;7760;20;24;40;44;52;64;64
3;3;14;802;381,40;15,89;9968;20;40;56;68;76;80;80
4;4;43;802;382,00;15,92;8928;28;36;48;56;68;72;72
4;4;22;802;426,29;17,76;4464;4;4;16;32;48;56;56
4;2;42;802;418,57;17,44;4896;4;20;28;36;44;48;56
3;3;22;802;384,71;16,03;8248;16;40;48;60;60;60;68
3;1;42;815;405,54;16,90;5224;12;20;28;36;48;48;52
4;4;21;815;403,33;16,81;2464;0;8;8;20;24;24;24
3;4;26;815;399,33;16,64;2560;0;4;24;24;24;24;24
3;1;33;815;396,29;16,51;6144;8;24;32;44;52;52;56
4;1;44;815;421,33;17,56;2032;0;0;12;16;20;24;24
3;2;15;815;407,25;16,97;6320;12;20;40;48;56;60;64
4;3;23;815;470,67;19,61;424;0;0;0;0;4;8;12
4;2;46;815;397,78;16,57;3896;8;16;24;24;24;28;36
3;2;22;815;402,29;16,76;5808;8;20;36;40;52;52;56
4;2;13;815;444,80;18,53;1224;0;0;0;4;16;20;20
4;1;32;815;415,20;17,30;1816;4;12;12;12;12;16;20
3;2;33;815;399,43;16,64;5968;8;24;32;44;52;52;56
3;3;23;815;410,00;17,08;3840;12;12;16;24;32;36;40
3;4;24;815;364,67;15,19;3392;12;20;20;20;20;20;24
3;3;16;815;405,33;16,89;3624;8;20;24;24;28;32;36
3;1;31;815;376,50;15,69;8288;28;40;52;52;60;64;64
3;2;35;815;412,00;17,17;2256;4;4;16;20;20;24;24
3;2;11;815;393,71;16,40;6288;16;20;32;48;52;52;56
3;4;35;815;405,60;16,90;2008;0;4;12;16;20;20;20
3;1;14;815;390,13;16,26;6952;12;28;44;52;56;56;60
4;3;42;815;408,57;17,02;2728;0;8;16;24;24;24;28
4;3;33;815;356,00;14,83;600;4;4;4;4;4;4;4
3;4;22;815;398,22;16,59;3880;16;20;20;24;24;32;36
4;3;46;815;422,22;17,59;3016;8;8;12;12;24;32;36
4;4;35;815;392,50;16,35;3632;8;12;16;28;32;32;32
4;4;34;815;437,71;18,24;1912;0;0;4;12;20;28;28
4;1;34;815;412,80;17,20;1864;0;0;8;20;20;20;20
3;3;14;815;401,33;16,72;3768;8;12;16;28;32;36;36
4;4;12;815;410,91;17,12;4184;4;12;16;40;44;44;44
4;2;35;815;437,33;18,22;824;0;0;4;4;8;8;12
3;1;15;815;390,86;16,29;6448;16;24;40;44;52;56;56
3;3;15;815;410,00;17,08;2304;4;8;12;16;20;20;24
4;2;33;815;440,50;18,35;2096;0;4;8;12;24;28;32
4;1;41;815;421,60;17,57;1688;4;4;8;12;12;20;20
4;2;11;815;412,44;17,19;3368;4;4;12;20;28;36;36
3;1;24;815;373,71;15,57;7408;16;40;56;56;56;56;56
3;3;31;815;408,00;17,00;3528;4;8;28;28;28;32;36
4;2;21;815;426,00;17,75;2560;0;4;16;20;24;28;32
4;3;15;815;403,43;16,81;2872;8;12;16;16;16;24;28
3;4;42;815;411,27;17,14;4168;4;12;28;36;36;40;44
3;4;23;815;353,00;14,71;4896;20;24;24;24;32;32;32
4;2;14;815;398,86;16,62;3000;4;12;20;24;24;28;28
3;1;45;815;370,80;15,45;5408;12;16;28;36;40;40;40
4;3;32;815;426,00;17,75;1280;0;4;4;4;16;16;16
3;2;16;815;423,20;17,63;3312;0;12;20;20;32;40;40
4;2;34;815;376,00;15,67;3120;4;16;16;24;24;24;24
3;4;41;815;318,00;13,25;1504;4;4;4;4;8;8;8
3;3;11;815;421,00;17,54;2720;0;8;8;20;28;32;32
3;3;35;815;406,15;16,92;5192;4;12;32;36;40;48;52
4;3;22;815;430,80;17,95;3008;8;8;12;20;24;36;40
3;2;15;815;416,00;17,33;3240;4;12;16;20;32;32;36
4;1;13;815;372,50;15,52;4272;16;20;24;24;24;32;32
3;4;21;815;410,80;17,12;3808;4;12;20;28;32;40;40
3;2;26;815;420,00;17,50;1376;4;4;8;8;12;12;16
3;3;45;815;396,31;16,51;5704;8;16;28;36;36;48;52
3;2;14;815;421,33;17,56;2032;4;8;12;12;12;20;24
3;1;34;815;397,43;16,56;6080;12;24;32;40;52;56;56
3;3;44;815;405,14;16,88;2824;0;8;20;24;24;28;28
4;3;43;815;408,00;17,00;2352;4;8;12;16;24;24;24
4;2;23;815;421,71;17,57;2360;4;4;4;20;24;24;28
4;2;45;815;415,00;17,29;1456;0;4;8;8;16;16;16
4;1;22;815;414,00;17,25;736;0;0;4;4;8;8;8
4;4;13;815;420,00;17,50;1720;0;8;8;12;16;16;20
4;4;42;815;430,22;17,93;2728;4;8;8;16;24;32;36
3;2;45;815;379,11;15,80;9136;16;44;56;68;72;72;72
4;4;14;815;386,75;16,11;7632;12;32;48;52;56;64;64
4;2;31;815;398,00;16,58;2592;12;12;16;16;16;20;24
4;1;24;815;426,40;17,77;1592;0;4;8;16;16;16;20
3;2;32;815;416,89;17,37;3208;8;12;16;24;28;32;36
4;2;15;815;440,00;18,33;264;0;0;0;0;4;4;4
3;3;42;815;356,50;14,85;4784;4;24;24;32;32;32;32
3;1;23;815;356,31;14,85;7784;16;36;48;52;52;52;52
4;4;15;815;424,44;17,69;2936;0;8;12;20;28;36;36
3;1;32;815;380,44;15,85;4520;12;16;32;32;36;36;36
4;4;25;815;390,50;16,27;3696;4;12;24;28;32;32;32
3;2;32;815;396,27;16,51;6584;16;20;32;40;60;60;60
3;4;45;815;396,89;16,54;3928;8;12;20;24;36;36;36
3;4;43;815;385,78;16,07;4328;8;12;20;20;28;32;36
3;3;34;815;383,20;15,97;2456;4;12;16;20;20;20;20
3;1;25;815;408,00;17,00;4704;12;24;24;40;40;40;48
4;2;36;815;424,00;17,67;1640;0;0;4;16;16;20;20
3;3;25;815;379,69;15,82;6568;16;24;44;48;48;48;52
3;4;36;815;412,40;17,18;3744;4;12;24;28;28;36;40
4;4;31;815;418,00;17,42;2112;0;8;12;16;16;24;24
3;2;21;815;397,87;16,58;6488;12;32;40;48;52;52;60
4;1;31;815;404,80;16,87;2024;0;0;12;20;20;20;20
4;3;12;815;396,80;16,53;2184;4;4;4;12;16;20;20
3;2;12;815;398,82;16,62;7288;12;24;52;52;64;68;68
3;3;45;815;400,89;16,70;3784;8;12;20;32;32;32;36
3;1;41;815;413,88;17,25;6264;12;16;36;40;56;68;68
4;4;46;815;413,71;17,24;5168;8;8;20;24;40;52;56
3;3;12;815;376,00;15,67;3640;4;16;24;28;28;28;28
4;1;36;815;416,67;17,36;4288;0;12;24;36;40;44;48
4;1;15;815;411,27;17,14;4168;0;20;20;28;36;44;44
3;4;34;815;406,00;16,92;4000;8;16;24;24;32;36;40
4;3;34;815;403,20;16,80;2056;4;4;16;16;16;20;20
3;2;23;815;389,14;16,21;3272;4;8;16;20;20;24;28
4;3;45;815;403,69;16,82;5320;12;20;28;36;36;48;52
3;2;25;815;411,60;17,15;3776;0;12;24;28;40;40;40
4;4;24;815;428,67;17,86;1856;0;0;0;16;20;24;24
3;2;42;815;407,53;16,98;6696;12;20;44;56;60;64;68
4;2;25;815;426,00;17,75;640;0;0;0;4;8;8;8
4;1;46;815;420,00;17,50;1032;0;4;4;4;12;12;12
3;3;41;815;411,60;17,15;3776;4;12;16;28;40;40;40
4;1;16;815;412,89;17,20;3352;4;12;20;24;28;32;36
3;4;12;815;348,00;14,50;632;4;4;4;4;4;4;4
4;4;45;815;421,71;17,57;2360;4;12;12;16;16;20;28
3;2;42;815;407,64;16,98;4328;4;16;16;28;36;44;44
3;2;13;815;433,00;18,04;3504;4;12;20;20;32;36;48
4;1;26;815;454,00;18,92;832;0;0;0;0;12;16;16
3;3;46;815;401,82;16,74;4584;12;16;24;24;36;44;44
4;1;45;815;423,00;17,63;1328;0;0;4;12;16;16;16
3;1;12;815;436,57;18,19;3888;0;4;8;24;44;56;56
4;2;43;815;419,20;17,47;1736;4;8;8;12;12;16;20
4;2;32;815;390,67;16,28;1384;0;8;8;12;12;12;12
4;2;24;815;436,40;18,18;2784;0;8;12;20;24;36;40
3;1;16;815;417,00;17,38;4272;4;8;20;36;40;44;48
4;4;22;815;416,00;17,33;1080;0;8;8;8;8;8;12
4;4;44;815;400,80;16,70;2104;4;12;12;16;16;20;20
4;4;41;815;384,00;16,00;3904;8;12;20;28;28;28;32
4;1;33;815;401,33;16,72;2512;0;4;16;24;24;24;24
3;2;43;815;410,00;17,08;3072;4;16;16;20;28;28;32
3;4;44;815;392,67;16,36;2720;4;12;16;16;16;16;24
4;2;42;815;414,29;17,26;2568;8;8;16;16;24;28;28
4;3;11;815;398,40;16,60;2152;4;4;12;16;16;16;20
4;4;33;815;446,67;18,61;1424;0;4;4;8;12;20;24
3;2;23;815;421,78;17,57;3032;4;4;12;24;32;32;36
4;1;35;815;452,00;18,83;432;0;0;0;4;4;8;8
3;2;44;815;396,80;16,53;2184;0;8;8;20;20;20;20
3;3;16;815;411,50;17,15;3024;0;12;20;24;24;32;32
3;3;24;815;414,86;17,29;2552;4;4;12;20;24;28;28
3;3;35;815;415,33;17,31;4352;4;8;28;36;40;40;48
4;4;23;815;390,67;16,28;1384;4;4;8;12;12;12;12
3;2;23;815;410,86;17,12;2664;4;12;16;20;20;24;28
4;2;44;815;397,78;16,57;3896;4;8;28;28;36;36;36
3;3;26;815;377,33;15,72;3088;8;16;16;24;24;24;24
3;3;43;815;378,67;15,78;3056;4;8;16;20;20;24;24
4;3;35;815;412,00;17,17;3384;4;4;20;24;36;36;36
3;3;13;815;408,80;17,03;3888;4;8;20;36;36;36;40
4;4;43;815;382,00;15,92;1984;4;4;8;12;12;12;16
3;2;22;815;392,00;16,33;4560;12;16;20;36;36;36;40
4;3;16;815;387,00;16,13;3808;8;16;20;32;32;32;32
4;3;41;815;430,93;17,96;4504;4;12;20;32;40;48;60
3;3;22;815;407,43;16,98;2760;4;8;16;16;28;28;28
4;1;25;815;435,08;18,13;3688;4;12;20;28;28;36;52
3;3;33;815;403,60;16,82;4096;4;20;28;32;36;40;40
4;3;14;815;433,71;18,07;2024;0;4;12;12;24;24;28
3;2;34;815;425,20;17,72;3232;0;8;20;28;28;32;40
4;2;12;815;422,67;17,61;2000;8;8;8;12;16;16;24
3;2;46;815;408,00;17,00;1960;0;8;8;16;20;20;20
3;3;26;815;416,00;17,33;4320;0;16;20;32;44;44;48
4;2;16;815;430,29;17,93;2120;0;0;16;16;20;24;28
3;4;14;815;373,71;15,57;3704;8;12;20;24;24;28;28
4;4;26;815;405,33;16,89;3624;12;12;16;28;28;32;36
3;1;43;815;407,00;16,96;4752;8;16;24;36;44;44;48
4;3;25;815;392,44;16,35;4088;8;8;24;32;32;36;36
3;4;33;815;398,67;16,61;3864;12;16;20;24;28;32;36
4;4;16;815;424,00;17,67;2296;4;8;8;8;16;24;28
3;1;22;815;382,00;15,92;4960;20;20;28;36;40;40;40
4;1;14;815;419,00;17,46;1392;4;4;8;8;8;16;16
3;4;46;815;452,00;18,83;648;0;0;0;8;8;8;12
3;2;33;815;410,75;17,11;6096;8;16;36;48;52;56;64
4;1;42;815;394,00;16,42;1792;4;8;8;12;16;16;16
4;2;41;815;432,57;18,02;2056;0;0;8;20;20;24;28
3;1;44;815;400,00;16,67;2120;0;4;12;20;20;20;20
4;3;13;815;428,50;17,85;2480;4;4;12;12;16;20;32
3;1;13;815;363,20;15,13;2856;12;12;12;12;12;20;20
4;2;22;815;379,00;15,79;2032;4;12;12;12;16;16;16
3;1;46;815;384,92;16,04;6296;20;24;36;40;48;48;52
3;3;36;815;418,50;17,44;5600;4;12;28;44;52;56;64
4;3;26;815;355,00;14,79;2416;12;12;12;16;16;16;16
3;1;21;815;359,56;14,98;5272;12;24;32;36;36;36;36
4;1;43;815;397,14;16,55;3048;8;12;16;24;28;28;28
3;2;13;815;422,33;17,60;4016;4;8;20;32;36;44;48
3;1;36;815;381,33;15,89;5984;16;24;40;44;48;48;48
3;3;32;815;424,00;17,67;3280;0;4;16;28;36;40;40
3;4;16;815;424,00;17,67;1312;0;4;8;8;12;16;16
3;2;41;815;397,00;16,54;6976;12;28;44;52;60;64;64
3;1;35;815;368,00;15,33;7728;20;32;48;52;56;56;56
3;4;11;815;394,67;16,44;2672;4;12;20;20;20;24;24
4;1;21;815;407,33;16,97;2368;8;8;8;12;16;16;24
3;4;25;815;420,80;17,53;1704;4;4;8;12;16;16;20
3;2;35;815;354,67;14,78;5448;12;20;24;28;36;36;36
4;4;32;815;452,00;18,83;864;0;0;0;8;8;12;16
3;4;15;815;450,67;18,78;664;0;0;0;4;8;12;12
3;2;43;815;424,50;17,69;2608;4;4;12;20;20;24;32
3;1;26;815;393,09;16,38;4968;12;20;28;36;44;44;44
4;3;44;815;408,00;17,00;2352;4;8;16;16;20;20;24
3;2;45;815;406,67;16,94;2384;4;8;16;16;20;20;24
4;4;11;815;NaN;NaN;0;0;0;0;0;0;0;0
4;1;11;815;422,40;17,60;1672;4;4;4;12;12;20;20
3;2;24;815;400,00;16,67;2968;4;4;8;20;24;24;28
3;3;36;815;409,60;17,07;1928;4;8;8;16;16;20;20
3;2;25;815;428,00;17,83;936;0;0;8;8;8;12;12
3;3;46;815;419,08;17,46;4520;8;12;16;28;48;52;52
4;4;36;815;390,67;16,28;4152;8;20;32;32;32;32;36
4;4;14;815;442,00;18,42;2560;4;4;12;16;20;32;40
3;2;31;815;395,00;16,46;5328;16;24;28;36;44;48;48
4;3;21;815;409,00;17,04;3104;4;4;12;16;28;32;32
3;4;13;815;396,40;16,52;4384;4;12;24;32;32;40;40
4;3;36;815;376,67;15,69;3104;8;16;24;24;24;24;24
3;4;32;815;405,60;16,90;2008;0;0;12;20;20;20;20
3;4;31;815;386,67;16,11;2864;8;12;20;20;20;24;24
4;3;24;815;398,40;16,60;4304;4;16;28;28;32;36;40
4;1;12;815;409,33;17,06;1160;4;4;4;4;12;12;12
4;1;23;815;394,55;16,44;4904;4;24;28;32;36;44;44
3;3;14;812;419,08;17,46;4520;0;4;24;28;52;52;52
3;4;46;812;394,77;16,45;5784;8;20;36;48;52;52;52
4;1;36;812;448,00;18,67;232;0;0;0;0;4;4;4
4;1;25;812;388,00;16,17;7080;24;24;28;44;56;56;60
3;4;13;812;388,27;16,18;7064;16;32;40;52;60;60;60
4;1;42;812;388,00;16,17;7552;8;28;40;60;64;64;64
3;4;45;812;387,47;16,14;7112;20;28;40;48;52;52;60
3;4;44;812;367,64;15,32;12176;44;60;76;84;84;84;88
4;2;21;812;394,53;16,44;8472;4;32;52;68;68;72;76
4;2;22;812;387,00;16,13;9520;24;48;60;68;72;76;80
3;4;33;812;386,82;16,12;8104;24;36;44;56;64;64;68
4;1;15;812;395,79;16,49;8376;16;28;52;60;72;72;76
4;1;32;812;388,31;16,18;6120;16;28;40;40;44;52;52
4;2;44;812;394,00;16,42;7168;24;32;40;48;56;56;64
3;3;34;812;416,00;17,33;5040;4;12;16;48;52;52;56
4;2;16;812;424,00;17,67;3936;8;12;24;28;32;32;48
4;1;43;812;378,00;15,75;11264;44;48;64;68;76;88;88
3;4;42;812;372,47;15,52;9080;28;36;40;64;68;68;68
3;4;12;812;376,63;15,69;9832;36;40;64;72;72;76;76
3;1;46;812;339,37;14,14;12664;36;56;68;72;72;76;76
3;4;16;812;423,58;17,65;6264;12;16;28;36;52;64;76
4;1;22;812;378,89;15,79;9152;24;44;56;72;72;72;72
4;2;46;812;395,06;16,46;7544;24;32;44;48;56;60;68
4;2;33;812;386,35;16,10;8136;16;32;48;64;64;64;68
3;1;36;812;397,45;16,56;4776;4;20;28;32;40;44;44
4;1;21;812;397,14;16,55;6096;12;24;36;48;52;52;56
4;2;43;812;393,26;16,39;8568;20;40;52;60;64;64;76
3;4;41;812;427,79;17,82;5944;4;12;24;44;64;68;76
3;4;24;812;403,47;16,81;6152;8;16;24;48;52;60;60
4;2;35;812;384,00;16,00;6832;12;32;44;48;48;52;56
4;2;42;812;393,87;16,41;6728;16;28;44;52;56;56;60
4;2;13;812;389,71;16,24;6512;16;32;32;44;48;56;56
3;4;15;812;373,33;15,56;9552;28;44;52;64;68;68;72
4;2;26;812;396,29;16,51;6144;4;20;40;48;52;56;56
3;4;34;812;360,00;15,00;8176;16;28;44;48;52;52;56
3;4;35;812;387,37;16,14;9016;20;40;56;64;68;72;76
4;1;13;812;396,92;16,54;5672;12;20;40;40;44;52;52
4;1;31;812;395,45;16,48;9728;16;40;60;72;84;88;88
3;4;14;812;426,00;17,75;5120;0;8;28;40;48;56;64
3;4;32;812;422,00;17,58;5376;4;4;28;36;52;60;64
4;2;12;812;407,38;16,97;5128;12;20;28;36;44;52;52
3;4;43;812;404,00;16,83;8160;16;28;48;60;68;72;80
3;4;23;812;409,25;17,05;6192;4;16;40;44;48;56;64
4;1;44;812;406,75;16,95;6352;12;36;40;40;44;56;64
3;3;44;812;401,71;16,74;5840;12;20;24;36;40;48;56
3;4;25;812;392,67;16,36;8160;20;36;52;60;60;68;72
4;1;35;812;407,53;16,98;6696;12;24;32;48;56;64;68
3;4;22;812;413,33;17,22;4448;4;12;24;28;44;48;48
4;1;24;812;373,18;15,55;9032;24;36;40;52;60;60;68
4;2;23;812;378,67;15,78;10696;24;44;64;76;84;84;84
4;1;34;812;374,67;15,61;3152;12;12;20;20;24;24;24
4;2;34;812;415,27;17,30;3992;12;16;20;28;28;32;44
4;2;32;812;405,18;16,88;6856;8;28;36;48;60;68;68
4;1;12;812;379,33;15,81;9120;28;32;48;60;72;72;72
4;1;14;812;398,67;16,61;6440;24;24;32;32;48;56;60
4;1;16;812;387,75;16,16;7568;20;44;48;52;56;64;64
3;4;21;812;395,76;16,49;7496;20;24;36;56;64;68;68
4;2;25;812;425,26;17,72;6136;4;20;32;40;56;68;76
4;2;15;812;413,54;17,23;4808;8;16;28;36;44;44;52
4;2;24;812;380,94;15,87;8504;16;40;52;64;68;68;68
3;4;36;812;413,64;17,23;8128;12;24;32;52;68;80;88
3;3;24;812;373,60;15,57;5296;12;20;32;32;40;40;40
4;2;36;812;338,59;14,11;11384;44;56;68;68;68;68;68
4;1;46;812;374,55;15,61;5784;16;32;40;44;44;44;44
4;1;26;812;354,00;14,75;9728;36;40;60;64;64;64;64
3;4;26;812;408,63;17,03;7400;12;24;40;56;64;68;76
4;2;31;812;372,94;15,54;9048;20;40;56;64;64;64;68
3;3;15;812;399,38;16,64;5544;8;20;32;40;44;52;52
3;4;31;812;421,50;17,56;2704;8;8;12;16;20;24;32
4;2;45;812;394,60;16,44;8912;20;40;56;56;64;68;80
4;1;45;812;395,56;16,48;7952;20;24;52;64;64;64;72
4;2;14;812;394,67;16,44;6680;12;20;44;52;60;60;60
4;2;41;812;368,76;15,37;11528;40;48;64;76;80;84;84
4;1;33;812;384,29;16,01;6816;16;24;36;44;48;52;56
4;1;23;812;405,60;16,90;6024;16;28;32;40;52;56;60
4;1;41;812;344,19;14,34;13592;56;76;80;84;84;84;84
;;;"RECHERCHEV(C2;$U$3:$W$15;3;VRAI)";;;;;;;;;;
